"Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","HK_Perc_HighInfection","HK_Perc_ModerateInfection","Asc_examined","Asc_positive","Asc_prevalence","Asc_Perc_HighInfection","Asc_Perc_ModerateInfection","TT_examined","TT_positive","TT_prevalence","TT_Perc_HighInfection","TT_Perc_ModerateInfection","STH_examined","STH_positive","STH_prevalence","Cum_Prevalence","Quality","Dups","SN","endnote_id","Composite_IU_ID"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Anbesame",null,"37.633333","11.716666999999999","3","","","1995","7","19","97.0","23.0","0.237113402",null,null,"97.0","21","0.21649484499999999",null,null,"97.0","7.0","7.2164948000000007E-2",null,null,"0","0","0.0","0.42019740900000002","3","2","31526","ETH0059","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Anbesame",null,"37.633333","11.716666999999999","3","","","2015",null,null,"464.0","68.0","0.14655172399999999",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,"0","0","0.0","0.14655172399999999","1","2","29507","ETH0156","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","E. Wellega","3146","Gida Ayana","18866","Andode Dicho","52315","38.738802700000001","8.8292015999999993","1","","","2009",null,null,"110.0","22.0","0.20000000000000001",null,null,"110.0","6","0.054545455",null,null,"110.0","0.0","0.0",null,null,null,null,"0.0","0.229845626","1","0","5155","","AETH0194818866"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","Arsi","3130","Bele Gesgar","18778","Angetu",null,"39.749001","6.1699999999999999","3","","",null,"0","99","103.0","37.0","0.35922330099999999",null,null,"103.0","69","0.66990291300000004",null,null,"103.0","32.0","0.31067961199999999",null,null,"0","0","0.0","0.80584525500000004","3","2","30156","ETH0077","AETH0194818778"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","Bale","3132","Meda Welabu","18954","Angetu","52450","39.483333000000002","6.3333329999999997","1","","","0",null,null,"103.0","37.0","0.35922330099999999",null,null,"103.0","69","0.66990291300000004",null,null,"103.0","32.0","0.31067961199999999",null,null,null,null,"0.0","0.80584525500000004","3","2","5204","","AETH0194818954"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1943","N. Shoa",null,"N. Shoa","26086","Angolela Primary School",null,"39.433329999999998","9.6333330000000004","4","","","2008","6","19","664.0","3.0","4.5180719999999997E-3",null,null,"664.0","23","3.4638554000000002E-2",null,null,"664.0","0.0","0.0",null,null,"0","0","0.0","3.6792573000000002E-2","1","2","30184","ETH0117","AETH0194326086"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"Ankober",null,null,null,"99","","","1995","0","99","182.0","99.0","0.54395604399999997",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,"0","0","0.0","0.54395604399999997","3","0","28799","ETH0079","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"Araba-Ensesa",null,null,null,"99","","","2007","5","20","85.0","24.0","0.28235294100000002",null,null,"85.0","15","0.17647058800000001",null,null,"85.0","22.0","0.258823529",null,null,"0","0","0.0","0.53015296300000003","1","0","30193","ETH0126","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Snnp","1950","Gamo Gofa","3148","Arba Minch Town","19118","Arba Minch","52138","37.564109500000001","6.0206054","1","","","2015",null,null,"345.0","3.0","8.6956519999999999E-3",null,null,"345.0","31","8.9855071999999994E-2",null,null,"345.0","4.0","1.1594203000000001E-2",null,null,null,null,"0.0","0.102103793","1","2","5263","","AETH0195019118"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1950","Gasotouboua Gofa",null,"Gasotouboua Gofa","3148","Arba Minch",null,"37.560113000000001","6.0652670000000004","4","","","2015",null,null,"345.0","3.0","8.6956519999999999E-3",null,null,"345.0","31","8.9855071999999994E-2",null,null,"345.0","4.0","1.1594203000000001E-2",null,null,"0","0","0.0","0.102103793","1","2","29520","ETH0151","AETH0195003148"
