"ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","Longitude","Latitude","Georeliability","Year","HK_examined","HK_positive","Asc_examined","Asc_positive","TT_examined","TT_positive","altitude","riv_dist","fric_w","fric_m","travel_w","travel_m","HK_e.logit","Asc_e.logit","TT_e.logit","utm_x","utm_y"
"Oromiya",1948,"West Arsi",3689,"Arsi Negele Town",18766,"Kersa Gera",38.6353,7.35253,3,2009,108,24,108,8,108,6,1804.0484708881,14.7094276841576,0.0120000001043081,0.00184266845349492,56.029387127342,6.06804771154877,-1.23807841681245,-2.47009156400286,-2.75806062167687,-203857.776950425,817738.713403636
"Oromiya",1948,"Guji",3151,"Adola",18750,"Kiltu Sorsa",39.017502,5.9244699,3,2009,109,39,109,12,109,3,1786.494189926,9.76219705619008,0.0191852135749996,0.0191852135749996,82.1423959538983,22.2590034385118,-0.579312037911147,-2.05412373369555,-3.41538201665411,-163358.879206446,658439.809663105
"Oromiya",1948,"Guji",3151,"Adola",18750,"Kiltu Sorsa",39.017502,5.9244699,3,2009,107,38,107,11,107,3,1786.494189926,9.76219705619008,0.0191852135749996,0.0191852135749996,82.1423959538983,22.2590034385118,-0.590668511277008,-2.12719597297574,-3.3964241029095,-163358.879206446,658439.809663105
"Oromiya",1948,"Jimma",3159,"Kersa (Jimma)",18928,"Kitimbile",37.027599,7.70819,3,2009,83,38,83,13,83,7,1755.08416404535,2.97141486897636,0.0120000001043081,0.00121949653750889,74.728665548918,7.54659314637956,-0.167054084663166,-1.65292302437384,-2.32238772029023,-381931.487642893,860308.080005625
"Oromiya",1948,"West Wellega",3194,"Begi",18774,"Kobor Chandi",34.558399,9.4807301,3,2009,107,21,107,23,107,1,1547.73389786597,4.42774376238493,0.0120000001043081,0.00130343021824912,98.9993378628218,10.7320482132083,-1.39209147880422,-1.27975111321302,-4.26267987704132,-652209.034643002,1065439.26898288
"Oromiya",1948,"West Arsi",3689,"Arsi Negele Town",18766,"Langano",38.7577605,7.5931759,1,2003,89,46,89,2,89,6,1583.69850846742,8.02132451868931,0.0599999986588955,0.00600000005215406,451.697955608332,47.1391581944949,0.0666913744986721,-3.55534806148941,-2.55304445495522,-189881.58903723,844303.923894112
"Oromiya",1948,"W. Harerge",3189,"Kuni",18981,"Legelaftu",40.831699,8.9246702,3,2009,110,56,110,0,110,0,1838.63281020222,0.788899231700832,0.0149489777095765,0.00949064647492051,56.0618601482412,7.97977483070387,0.0360399364831969,-5.39816270151775,-5.39816270151775,41363.1937397015,989115.505874936
"Oromiya",1948,"W. Harerge",3189,"Mesela",18958,"Lubu Dekeba",41.145599,9.0750599,3,2009,100,43,100,5,100,0,2196.08755932971,3.33804118861726,0.0124386120900939,0.00202129135615675,27.7707942838596,2.98273304851003,-0.279024009708666,-2.85437815524826,-5.30330490805908,76129.1641541738,1005401.93324859
"Oromiya",1948,"Borena",3135,"Dire",18837,"Megado",38.221298,3.8966401,3,2009,106,0,106,0,106,0,952.059520433623,9.51973456377027,0.0132426728411122,0.00336687972275196,7.74569607629791,1.74926091699527,-5.36129216570943,-5.36129216570943,-5.36129216570943,-254325.00399572,433745.66077539
"Oromiya",1948,"Bale",3132,"Mena (Bale)",18823,"Melka Amana",39.7892,6.24612,3,2009,105,10,105,6,105,8,1052.50458672169,0.926927018661851,0.0121889943033786,0.00169855265236113,32.2190559071059,2.23676159283719,-2.20775099032321,-2.72835546726296,-2.43978621450753,-77194.9460959649,693272.923973335
